product_id,brand,title,price,category,rating
B08JJ316DQ,Other,14K Gold Filled Cross Necklace for Men Figaro Chain Stainless Steel Plain Polished Cross Pendant Necklace Simple Faith Jewelry Gift for Boy Women Girls,61.44,Accessories,4.3
B07QW1ZX3Z,Other,14K Gold Plated 925 Sterling Silver Post Lightweight Hoops | 20mm - 30mm Earring | Gold Hoop Earrings for Women,74.97,Most-Loved Fashion,4.5
B07QQ3YZB6,Other,14K Gold Plated Crystal Solitaire 1.5 Carat (7.3mm) CZ Dainty Choker Necklace | Gold Necklaces for Women,63.86,Most-Loved Fashion,4.4
B08DKL5Z82,Other,14K Gold Plated S925 Sterling Silver Post Lightweight Drop/Dangle Huggie Earrings for Women | Bezel Set Solitaire CZ | Dainty Earrings,67.27,Most-Loved Fashion,4.5
B00EOB0DHQ,Other,14k Gold Plated Brass Mouse Cubic Zirconia Screwback Baby Girls Earrings with Sterling Silver Post,135.32,Most-Loved Fashion,4.3
B07VQ1M3Z6,Other,15 Pcs Kids Socks for Boys Girls Half Cushion Low Cut Athletic Ankle Socks,42.0,Most-Loved Fashion,4.7
B0CCN42K6Q,Other,"15 Pcs Large Travel Storage Shoe Bags, Waterproof Shoe Bag for Gym,Travel, Portable Shoe Pouch Organizer Non-Woven Fabric with Drawstring for Men and Women (White - 15pcs Large)",28.0,Luggage,4.5
B0B939GCHQ,Other,15 Pieces Clear Makeup Bag Travel Toiletry Organizer Pouches Small Zipper Pouch PVC Plastic Transparent Clear Cosmetic Bags Waterproof Mini Pouch with Zipper Closure for Bathroom Vacation Organizing,26.54,Luggage,4.1
B0C1BV293J,Other,"15"" 4-Wheel Spinner Underseat Carry-on Luggage with Side USB Port",222.0,Luggage,4.4
B0CFVC22D3,Other,"15.6 Inch Laptop backpack Waterproof Business casual Travel backpack for Men Women, B00465 (Black)",135.0,Luggage,5.0
B07SX196VM,Other,15.6 Inch PU Leather Briefcase for Men Laptop Bag Waterproof Retro Business Travel Messenger Bag Perfect for Daily/Christmas,265.0,Outlet,4.4
B07VBLPCDS,Other,15.6 inch Laptop Shoulder Bag Vintage Waterproof Oilcloth Shoulder Bag with Padded Shoulder Strap,143.99,Most-Loved Fashion,4.6
B0CKTG2JMQ,Other,"153225 Billfold, Black, 12,5x9,5x2 cm",188.67,Wallets,4.6
B0B6G366Z8,Other,"15Pack Travel Pouches for Toiletries, TSA Approved Travel Size Portable Containers, Stand Up Pouch, Leakproof Squeezable Bags Refillable Travel Accessories for Shampoo Conditioner Lotion Soap Liquids",39.6,Luggage,4.7
B09YTL7MR8,Other,"15pcs Portable Shoe Bags for Travel, Large Shoes Pouch Packing Organizers, Non-Woven Shoe Bag for Storage Clear Window with Rope for Men and Women Black",19.8,Luggage,4.8
B0B785W5HK,Other,"16 Pairs Men Earrings Set - Black Stainless Steel Cross Dangle Hoop & Ear Stud Fashion Piercing Jewelry for Birthdays, Parties & More",51.64,Accessories,4.5
B0BTVWGCD1,Other,"16"" Laptop Backpack with Tablet Compartment, Expandable Backpack 40L Travel Backpack Water-resistant Business School Backpack with USB Port for Men",119.0,Luggage,4.8
B0BC8VCCPF,Other,160L Expandable Rolling Wheeled Duffel Bag Foldable Large Capacity Suitcase Extra Oxford Folding Luggage with 6 Durable Rolling Wheel Waterproof Lightweight Luggage Bag for Men Women Home Business,100.63,Luggage,3.9
B0C868J2SP,Other,"17 Inch Kids Lightweight Carry-On Luggage Trolley Bag, Hard Shell Travel Suitcase with 4 Spinner Wheels, Cute Cate",69.0,Luggage,3.9
B09YGJG9X3,Other,"17 Inch Laptop Backpack for Women Men Fashion Computer Work Bag, Large Capacity Waterproof Backpack with USB Port & RFID Pockets, College Daypack Business Travel, Black",132.99,Most-Loved Fashion,4.7
B0F9WNYXJ8,Other,"17-inch Premium Pilot Bag Water Resistant 4 Spinner Wheeled Rolling Laptop Case Multifunctional Compartments with Safe Zippers for Unisex, KH102",270.0,New season,5.0
B0B5GHLYJ7,Other,"17.3'' Travel Laptop Backpack TSA Friendly, Water Resistant Anti Theft Extra Large College Backpacks with RFID Pockets, USB Port for Men Women Business Work Bag, Black",155.0,Most-Loved Fashion,4.7
B076MQZHPC,Other,"17.3-18.5"" Laptop Bag Laptop Briefcase Shoulder Bag Expandable Capacity For Travel/Business/Men-Black",158.0,Most-Loved Fashion,4.7
B00QNRHM0K,Other,"172.283.40 Frakta Shopping Bag, Large, Blue, Set of 5",26.75,Most-Loved Fashion,4.6
B0BKGYK4XV,Other,18 Inch Rolling Backpack With Matching Lunch Bag Set Girls Boys Roller Bag on Wheels Kids School Bookbags Wheeled,189.08,Luggage,5.0
B0C6DTQB6R,Other,"18 Pack Travel Bottle Set, 3oz Silicone Travel Containers, TSA Approved, BPA Free, with a Special Leak-Proof Design. Refillable Liquid Travel Size Toiletries Ideal.",53.99,Luggage,4.4
B0918N1Y92,Other,18 Pairs Stainless Steel Stud Earrings Set for Women Men Star Moon Triangle Heart Leaf 20G Cartilage Earrings Hypoallergenic Flatback Earrings Piercing Jewelry,26.0,New season,4.4
B0918N1Y92,Other,18 Pairs Stainless Steel Stud Earrings Set for Women Men Star Moon Triangle Heart Leaf 20G Cartilage Earrings Hypoallergenic Flatback Earrings Piercing Jewelry,26.0,Most-Loved Fashion,4.4
B0BGMXM4C1,Other,18 Pairs Stainless Steel Stud Earrings Set for Women Men Star Moon flower Heart Leaf Opal 20G Cartilage Earrings Hypoallergenic Flatback Earrings Piercing Jewelry,59.98,Accessories,5.0
B07M5N8X11,Other,"18"" Laptop Bag Premium Laptop Briefcase Fits Up to 17.3 Inch Laptop Expandable Water-Repellent Shoulder Messenger Bag Computer Bag for Travel/Business/School/Men/Women-Black",148.0,Most-Loved Fashion,4.7
B07TNF5CLV,Other,"18"" Laptop Bag Premium Laptop Briefcase Fits Up to 17.3 Inch Laptop Expandable Water-Repellent Shoulder Messenger Bag Computer Bag with RFID Pockets for Travel/Business/School/Men/Women-Black",140.0,Most-Loved Fashion,4.6
B002Y5XONE,Other,189-35 Mens Casual Shoes X1110 Black 47,240.0,Shoes,3.4
B01MZ8FD3I,Other,18K White Gold Plated Round Diamond Stud Earrings for Men Women Silver Square with Brilliant AAAA+ Zirconia Earrings Silver Stud Men Earrings Made of Silver 4 mm - 8 mm,150.98,Accessories,4.3
B07XCF7JQM,Other,18k Rose Gold Plated Butterfly Necklace Pendant for Women and Girls,25.96,Outlet,3.2
B099S9FJ52,Other,18k Rose Gold Plated Latest Fancy Stylish Copper Zircon Bali Earrings for Women and Girls,29.7,New season,4.1
B099S9FJ52,Other,18k Rose Gold Plated Latest Fancy Stylish Copper Zircon Bali Earrings for Women and Girls,29.7,Most-Loved Fashion,4.1
B09ZLQHL8M,Other,18k Rose Gold Plated Latest Stylish Copper Zircon Earrings for Women and Girls (14478er),33.64,Outlet,3.9
B0C4GXMPKG,Other,"18mm 20mm 22mm Watch band with Stainless Steel Buckle, Waterproof Nylon Watch Strap for Men & Women",50.83,Watches,4.3
B0B82NQTZ9,Other,"19L Laptop Backpack for Men/Women I Waterproof I Fits upto 15.6"" laptop",36.74,Luggage,4.5
